               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057998,            0.016605,                   0,             0.98882,             0.98148,              0.9944,                0.62,            0.026824,           0.0065728,                   0,            0.003328,            0.003328,            0.070048
                   1,              0.0339,           0.0072216,                   0,              0.9937,             0.99373,             0.99497,              0.6718,            0.023197,           0.0044806,                   0,           0.0064965,           0.0064965,            0.039883
                   2,            0.030756,           0.0056796,                   0,              0.9623,             0.99033,              0.9934,             0.74381,            0.021465,           0.0040554,                   0,           0.0094999,           0.0094999,           0.0095531
                   3,            0.025406,           0.0048045,                   0,             0.99956,              0.9999,               0.995,             0.77552,            0.016166,           0.0030991,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.021702,            0.004214,                   0,              0.9988,             0.99945,             0.99497,             0.83562,            0.012794,           0.0027542,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.019434,           0.0038941,                   0,             0.99957,              0.9996,               0.995,             0.84669,            0.012388,           0.0025343,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.017586,           0.0036433,                   0,              0.9996,             0.99922,               0.995,             0.86019,            0.010703,            0.002425,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.016782,           0.0035277,                   0,              0.9998,                   1,               0.995,             0.87528,             0.01012,           0.0022392,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.015624,           0.0033824,                   0,              0.9999,             0.99986,               0.995,             0.88579,           0.0098867,           0.0021444,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.014803,           0.0032903,                   0,             0.99999,                   1,               0.995,             0.89488,           0.0092825,           0.0020907,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.014537,           0.0031898,                   0,             0.99999,                   1,               0.995,             0.90713,           0.0086622,           0.0019854,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.013933,           0.0031095,                   0,             0.99998,                   1,               0.995,             0.90258,           0.0087678,           0.0019941,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.013478,            0.003034,                   0,             0.99999,              0.9999,               0.995,             0.90826,           0.0084053,           0.0019203,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.012928,           0.0029873,                   0,             0.99999,                   1,               0.995,             0.91304,           0.0080301,           0.0018604,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.012595,           0.0029384,                   0,             0.99999,                   1,               0.995,             0.92112,           0.0076438,           0.0018166,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.012169,           0.0028392,                   0,                   1,                   1,               0.995,             0.92155,           0.0075568,           0.0017531,                   0,            0.006535,            0.006535,            0.006535
